cluster,Count,Avg_Rainbow_Score,Std_Rainbow_Score,Avg_Solar_Alt,Avg_Precip,Avg_Humidity,Avg_Temp,Avg_Wind,Avg_Clearness,Mode_Hour,Mode_Month,Mode_Season
0,43965,8.23,0.62,22.17,3.01,73.13,27.16,2.79,0.53,11,9,Monsoon
1,4445,8.5,0.86,35.19,1.63,83.72,3.78,1.44,-429.29,5,1,Winter
