Feature,Importance
rainbow_score,0.6308592
SZA,0.27558607
solar_altitude,0.065906964
PRECTOTCORR,0.017353486
ALLSKY_KT,0.004880455
CLRSKY_SFC_SW_DWN,0.0025273373
T2M,0.0010936732
hour,0.00081906706
RH2M,0.0004733879
solar_azimuth,0.00026509626
ALLSKY_SFC_SW_DWN,0.00015396539
day_of_year,5.4075466e-05
season_encoded,2.1156347e-05
PS,5.1039315e-06
WD2M,1.0010242e-06
WS2M,0.0
month,0.0
