Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,1.0,1.0,1.0,1.0,1.0
Random Forest,0.9999910564561207,1.0,0.999851488824534,0.9999257388979652,1.0
LightGBM,0.9999821129122415,0.9999257333828444,0.9997772332368011,0.9998514777959305,0.9999999706734277
Logistic Regression,0.9839597540525433,0.7946439222235476,0.9893071953664513,0.8813548109681474,0.999091279057343
